Interval=	0.001 s
ExcelDateTime=	4.5785602370697263e+004	2025/05/08 14:27:24.828244
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 1
Range=	5.000 V
1.388	-0.015
1.389	-0.016
1.39	-0.017
1.391	-0.019
1.392	-0.019
1.393	-0.016
1.394	-0.015
1.395	-0.018
1.396	-0.016
1.397	-0.019
1.398	-0.019
1.399	-0.019
1.4	-0.018
1.401	-0.015
1.402	-0.012
1.403	-0.016
1.404	-0.016
1.405	-0.015
1.406	-0.018
1.407	-0.018
1.408	-0.016
1.409	-0.015
1.41	-0.014
1.411	-0.015
1.412	-0.018
1.413	-0.017
1.414	-0.017
1.415	-0.019
1.416	-0.018
1.417	-0.016
1.418	-0.012
1.419	-0.013
1.42	-0.015
1.421	-0.014
1.422	-0.016
1.423	-0.018
1.424	-0.017
1.425	-0.018
1.426	-0.018
1.427	-0.015
1.428	-0.014
1.429	-0.015
1.43	-0.016
1.431	-0.018
1.432	-0.017
1.433	-0.017
1.434	-0.016
1.435	-0.013
1.436	-0.015
1.437	-0.016
1.438	-0.016
1.439	-0.017
1.44	-0.016
1.441	-0.018
1.442	-0.019
1.443	-0.015
1.444	-0.016
1.445	-0.020
1.446	-0.020
1.447	-0.019
1.448	-0.018
1.449	-0.017
1.45	-0.016
1.451	-0.016
1.452	-0.014
1.453	-0.016
1.454	-0.015
1.455	-0.014
1.456	-0.015
1.457	-0.018
1.458	-0.019
1.459	-0.020
1.46	-0.019
1.461	-0.019
1.462	-0.020
1.463	-0.018
1.464	-0.017
1.465	-0.016
1.466	-0.015
1.467	-0.016
1.468	-0.014
1.469	-0.013
1.47	-0.012
1.471	-0.011
1.472	-0.014
1.473	-0.015
1.474	-0.015
1.475	-0.015
1.476	-0.015
1.477	-0.012
1.478	-0.015
1.479	-0.017
1.48	-0.016
1.481	-0.015
1.482	-0.017
1.483	-0.018
1.484	-0.015
1.485	-0.012
1.486	-0.013
1.487	-0.015
1.488	-0.016
1.489	-0.017
1.49	-0.020
1.491	-0.022
1.492	-0.021
1.493	-0.020
1.494	-0.018
1.495	-0.018
1.496	-0.019
1.497	-0.020
1.498	-0.021
1.499	-0.020
1.5	-0.020
1.501	-0.016
1.502	-0.013
1.503	-0.017
1.504	-0.018
1.505	-0.016
1.506	-0.017
1.507	-0.019
1.508	-0.018
1.509	-0.020
1.51	-0.018
1.511	-0.015
